Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.95999908447266,69.05999755859375,67.87999725341797,68.87999725341797,66.72846221923828,306100
2010-01-05,68.77999877929688,69.5,68.2699966430664,69.43000030517578,67.26126098632812,324600
2010-01-06,69.20999908447266,71.47000122070312,69.20999908447266,70.79000091552734,68.57880401611328,486200
2010-01-07,70.44999694824219,71.04000091552734,69.97000122070312,70.47000122070312,68.26880645751953,434000
2010-01-08,70.04000091552734,70.69000244140625,69.30999755859375,69.81999969482422,67.63906860351562,382800
2010-01-11,70.23999786376953,70.62999725341797,69.45999908447266,70.29000091552734,68.09441375732422,378100
2010-01-12,69.54000091552734,70.66999816894531,68.97000122070312,69.7699966430664,67.5906753540039,324000
2010-01-13,70.33999633789062,70.55999755859375,69.75,70.5199966430664,68.3172378540039,462000
2010-01-14,70.19000244140625,70.4800033569336,69.06999969482422,69.22000122070312,67.05784606933594,764400
2010-01-15,69.0999984741211,69.4800033569336,67.70999908447266,67.76000213623047,65.64347076416016,460800
2010-01-19,67.76000213623047,68.62999725341797,67.23999786376953,68.30000305175781,66.16659545898438,382400
2010-01-20,67.61000061035156,67.95999908447266,66.25,67.12999725341797,65.03311920166016,477500
2010-01-21,67.06999969482422,67.54000091552734,65.63999938964844,65.94999694824219,63.88996887207031,564300
2010-01-22,65.83999633789062,66.25,65.33999633789062,65.8499984741211,63.79310607910156,1070800
2010-01-25,66.6500015258789,67.70999908447266,65.8499984741211,66.01000213623047,63.9481086730957,965800
2010-01-26,65.69000244140625,65.83000183105469,63.11000061035156,63.22999954223633,61.254940032958984,800400
2010-01-27,63.16999816894531,64.33000183105469,63.060001373291016,63.900001525878906,61.904022216796875,1161600
2010-01-28,64.11000061035156,64.27999877929688,61.720001220703125,61.779998779296875,59.85024642944336,1112300
2010-01-29,62.189998626708984,63.52000045776367,60.54999923706055,60.56999969482422,58.678035736083984,892100
2010-02-01,61.119998931884766,65.19000244140625,60.65999984741211,64.12000274658203,62.11715316772461,1236400
2010-02-02,64.93000030517578,66.0199966430664,64.58000183105469,65.47000122070312,63.42496871948242,683100
2010-02-03,65.05999755859375,66.16999816894531,65.04000091552734,65.8499984741211,63.79310607910156,578800
2010-02-04,65.11000061035156,65.58999633789062,63.34000015258789,63.34000015258789,61.361507415771484,644500
2010-02-05,63.2599983215332,63.7400016784668,60.90999984741211,63.709999084472656,61.71995544433594,540700
2010-02-08,63.720001220703125,64.12000274658203,62.459999084472656,62.5,60.547752380371094,482500
2010-02-09,63.58000183105469,63.58000183105469,61.939998626708984,62.45000076293945,60.49930953979492,577400
2010-02-10,66.19000244140625,69.7300033569336,66.1500015258789,67.5199966430664,65.41095733642578,1910500
2010-02-11,67.16000366210938,68.33000183105469,67.1500015258789,67.86000061035156,65.74031066894531,651400
2010-02-12,66.79000091552734,68.76000213623047,66.16000366210938,68.70999908447266,66.56375885009766,638300
2010-02-16,69.55000305175781,69.91999816894531,68.58000183105469,69.4000015258789,67.23222351074219,416400
2010-02-17,69.98999786376953,70.0,69.05000305175781,69.7699966430664,67.5906753540039,431700
2010-02-18,69.69999694824219,69.69999694824219,68.25,68.41999816894531,66.28282165527344,658100
2010-02-19,68.16000366210938,69.4800033569336,68.16000366210938,68.88999938964844,66.73817443847656,492000
2010-02-22,69.41000366210938,71.37999725341797,68.81999969482422,70.87000274658203,68.65629577636719,752800
2010-02-23,70.79000091552734,71.37999725341797,69.69999694824219,70.33999633789062,68.14286041259766,818000
2010-02-24,70.41000366210938,71.01000213623047,70.12999725341797,70.70999908447266,68.50128936767578,314500
2010-02-25,69.83000183105469,70.7300033569336,69.27999877929688,70.62000274658203,68.41410064697266,306100
2010-02-26,70.54000091552734,71.33000183105469,69.93000030517578,71.12999725341797,68.9081802368164,353100
2010-03-01,71.1500015258789,72.29000091552734,71.0,72.20999908447266,69.95442962646484,469200
2010-03-02,72.30999755859375,74.29000091552734,72.2699966430664,73.93000030517578,71.62071990966797,686100
2010-03-03,73.88999938964844,75.51000213623047,73.41999816894531,74.4800033569336,72.15354919433594,698000
2010-03-04,74.51000213623047,77.3499984741211,74.48999786376953,76.80000305175781,74.40107727050781,995400
2010-03-05,77.69000244140625,78.08000183105469,76.37000274658203,77.94999694824219,75.51516723632812,758200
2010-03-08,77.73999786376953,78.38999938964844,77.37999725341797,77.45999908447266,75.04044342041016,494200
2010-03-09,77.1500015258789,77.76000213623047,76.58000183105469,76.93000030517578,74.52701568603516,504300
2010-03-10,76.80999755859375,77.22000122070312,76.11000061035156,76.77999877929688,74.38169860839844,711300
2010-03-11,76.4000015258789,76.98999786376953,75.58999633789062,76.93000030517578,74.52701568603516,451200
2010-03-12,77.31999969482422,78.05999755859375,76.95999908447266,78.04000091552734,75.60234069824219,450000
2010-03-15,77.97000122070312,78.66999816894531,75.86000061035156,76.81999969482422,74.42044067382812,574700
2010-03-16,76.7699966430664,77.83000183105469,76.19000244140625,77.7300033569336,75.3020248413086,382700
2010-03-17,78.08999633789062,79.79000091552734,77.9800033569336,79.05000305175781,76.58079528808594,619300
2010-03-18,79.19999694824219,79.58000183105469,78.72000122070312,79.36000061035156,76.88111114501953,351400
2010-03-19,78.72000122070312,81.08000183105469,78.69999694824219,78.72000122070312,76.26109313964844,695200
2010-03-22,78.01000213623047,79.69000244140625,77.77999877929688,79.61000061035156,77.12330627441406,512800
2010-03-23,79.5999984741211,80.61000061035156,79.27999877929688,80.45999908447266,77.9467544555664,398400
2010-03-24,79.95999908447266,81.05000305175781,79.83999633789062,80.12000274658203,77.61739349365234,685400
2010-03-25,80.9800033569336,81.43000030517578,79.76000213623047,79.80999755859375,77.31705474853516,513300
2010-03-26,80.23999786376953,81.25,79.8499984741211,80.7699966430664,78.2470474243164,583600
2010-03-29,80.93000030517578,81.19999694824219,80.05999755859375,80.69999694824219,78.17925262451172,411300
2010-03-30,80.91000366210938,81.06999969482422,79.55000305175781,79.7699966430664,77.27830505371094,463700
2010-03-31,79.70999908447266,80.0199966430664,78.77999877929688,79.0,76.53235626220703,441100
2010-04-01,79.97000122070312,81.29000091552734,79.91999816894531,81.26000213623047,78.72176361083984,697100
2010-04-05,81.7699966430664,82.80999755859375,81.33999633789062,82.47000122070312,79.89396667480469,403600
2010-04-06,81.8499984741211,83.68000030517578,80.88999938964844,83.68000030517578,81.06617736816406,651600
2010-04-07,83.29000091552734,83.5999984741211,81.83000183105469,82.52999877929688,79.95207214355469,480800
2010-04-08,82.0,82.08999633789062,80.83999633789062,81.0999984741211,78.56674194335938,584100
2010-04-09,81.30000305175781,81.44000244140625,80.2699966430664,81.29000091552734,78.75080871582031,459800
2010-04-12,81.5999984741211,81.5999984741211,80.05999755859375,80.44000244140625,77.92736053466797,467700
2010-04-13,80.41000366210938,81.43000030517578,80.08000183105469,81.22000122070312,78.6830062866211,251000
2010-04-14,81.87999725341797,82.94000244140625,80.97000122070312,82.9000015258789,80.3105239868164,604000
2010-04-15,82.44000244140625,84.12999725341797,82.33000183105469,84.0,81.37615966796875,373400
2010-04-16,83.80999755859375,84.5999984741211,81.47000122070312,82.79000091552734,80.20396423339844,692000
2010-04-19,82.19000244140625,83.8499984741211,81.44999694824219,82.29000091552734,79.71955871582031,443100
2010-04-20,82.76000213623047,83.33999633789062,82.12000274658203,83.16999816894531,80.57209777832031,328000
2010-04-21,83.45999908447266,84.22000122070312,82.87000274658203,83.80000305175781,81.18241119384766,414800
2010-04-22,82.91000366210938,84.79000091552734,82.2699966430664,84.58000183105469,81.93807220458984,402800
2010-04-23,84.97000122070312,85.55000305175781,84.47000122070312,85.38999938964844,82.7227554321289,367800
2010-04-26,85.29000091552734,85.45999908447266,82.54000091552734,82.54000091552734,79.96177673339844,741200
2010-04-27,81.80999755859375,82.87000274658203,79.51000213623047,81.30000305175781,78.76051330566406,953700
2010-04-28,82.72000122070312,84.31999969482422,82.38999938964844,83.41999816894531,80.81427764892578,648300
2010-04-29,84.13999938964844,88.01000213623047,83.91000366210938,87.05000305175781,84.3309097290039,558700
2010-04-30,86.98999786376953,86.98999786376953,84.18000030517578,84.18000030517578,81.55054473876953,657900
2010-05-03,84.23999786376953,85.66000366210938,83.5,85.33000183105469,82.66464233398438,746400
2010-05-04,83.9800033569336,84.38999938964844,82.80000305175781,83.76000213623047,81.14368438720703,548900
2010-05-05,82.87000274658203,83.79000091552734,80.91999816894531,81.06999969482422,78.53768920898438,731100
2010-05-06,80.93000030517578,82.1500015258789,73.19999694824219,77.80000305175781,75.36985778808594,1089100
2010-05-07,77.66999816894531,77.73999786376953,73.7699966430664,74.08999633789062,71.77571105957031,893600
2010-05-10,77.94999694824219,79.94999694824219,77.41999816894531,79.88999938964844,77.39454650878906,702100
2010-05-11,78.5999984741211,80.19000244140625,78.5999984741211,79.01000213623047,76.54202270507812,331100
2010-05-12,79.56999969482422,81.08000183105469,79.0,80.98999786376953,78.46018981933594,331100
2010-05-13,80.54000091552734,81.44000244140625,79.83999633789062,79.83999633789062,77.34613037109375,265700
2010-05-14,79.19000244140625,79.19000244140625,76.44999694824219,77.12000274658203,74.7110824584961,319000
2010-05-17,77.43000030517578,78.29000091552734,75.08000183105469,76.94000244140625,74.53669738769531,376800
2010-05-18,77.91000366210938,78.33000183105469,74.01000213623047,74.2699966430664,71.95010375976562,461600
