Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.13358688354492,35.54389190673828,34.875953674316406,35.314884185791016,22.58574104309082,14563532
2010-01-05,35.59160232543945,35.73473358154297,35.238548278808594,35.45801544189453,22.67727279663086,15452550
2010-01-06,35.5057258605957,36.00190734863281,35.209922790527344,35.935115814208984,22.982406616210938,15971415
2010-01-07,35.75381851196289,36.16412353515625,35.6870231628418,35.992366790771484,23.019023895263672,12488597
2010-01-08,36.135494232177734,36.154579162597656,35.71564865112305,35.97328186035156,23.006816864013672,11283921
2010-01-11,36.14503860473633,36.183204650878906,35.78244400024414,36.11641311645508,23.09834861755371,10041726
2010-01-12,36.08778762817383,36.25,35.610687255859375,35.83015441894531,22.915273666381836,11445942
2010-01-13,36.55534362792969,37.566795349121094,36.35496139526367,37.14694595336914,23.757434844970703,26593419
2010-01-14,37.4427490234375,38.28244400024414,37.30915832519531,38.15839767456055,24.40430450439453,23081466
2010-01-15,38.14885330200195,38.42557144165039,37.22328186035156,37.66221237182617,24.086973190307617,21854258
2010-01-19,37.738548278808594,38.96946716308594,37.63358688354492,38.75954055786133,24.788768768310547,20908334
2010-01-20,38.77862548828125,39.26526641845703,38.139312744140625,39.15076446533203,25.038982391357422,21843150
2010-01-21,39.1984748840332,39.656490325927734,38.21564865112305,38.2442741394043,24.459232330322266,26803019
2010-01-22,38.07251739501953,38.44465637207031,36.9942741394043,37.08969497680664,23.72081756591797,18301853
2010-01-25,37.48091506958008,37.91984558105469,36.946563720703125,36.98473358154297,23.6536922454834,16116039
2010-01-26,36.73664093017578,37.16603088378906,36.41221237182617,36.8129768371582,23.543840408325195,20817158
2010-01-27,36.72710037231445,37.00381851196289,36.22137451171875,36.8702278137207,23.580453872680664,18322289
2010-01-28,36.96564865112305,37.156490325927734,36.20228958129883,36.23091506958008,23.171588897705078,14008197
2010-01-29,36.507633209228516,37.22328186035156,35.935115814208984,36.431297302246094,23.29973030090332,16893655
2010-02-01,36.79389190673828,36.860687255859375,36.32633590698242,36.54580307006836,23.372970581054688,9666647
